shop_name,biko,address,homepage_address,google_map_url
小綿商店,フルーツサンドとハンバーガーの美味しいパン屋さん（秀吾談）,〒020-0125 岩手県盛岡市上堂３丁目５−１３,https://ja-jp.facebook.com/S.dram.and.kitchen/,https://maps.google.com/?cid=828025468271576644
SoRa cafe feat.waffle cafe Sign,drink全般、高校生の商品ワッフルバー「わふ」、ランチセット２種。,〒020-0857 岩手県盛岡市北飯岡１丁目２−１０,https://soracafe-wafflecafesign.amebaownd.com/pages/521703/undefined,https://maps.google.com/?cid=10398939523940325691
ヴィラ・パッパーレ,ピッツァのテイクアウト+前菜サラダセット。ご予約お問い合わせは、☎︎019ー613ー3337高橋,〒020-0022 岩手県盛岡市大通３丁目２−３,,https://maps.google.com/?cid=8323156597022068475
おにぎりのころりん,,〒020-0863 岩手県盛岡市南仙北２丁目２３,,https://maps.google.com/?cid=17704318537926001312
芳来,,〒028-4132 岩手県盛岡市渋民愛宕５４,,https://maps.google.com/?cid=11962055816261280495
ももどり伝説,,〒020-0832 岩手県盛岡市東見前５地割５−１,https://www.sawauchijinku.com/densetsu/,https://maps.google.com/?cid=10936151176318276693
Cubano Bar「Meeats」〜クバーノ バル ミーツ,,〒020-0021 岩手県盛岡市中央通１丁目９−１１ CUBE映画館通りビルB1 盛岡横丁内,https://twitter.com/Cubano_morioka,https://maps.google.com/?cid=9645867911614415754
まるまつ,,〒020-0866 岩手県盛岡市本宮７丁目２−３２,http://www.re-marumatu.co.jp/marumatsu/,https://maps.google.com/?cid=4224426071994466549
Vegetus,,〒020-0127 岩手県盛岡市前九年２丁目５−３ １階,https://www.rawvegetus.com/,https://maps.google.com/?cid=6316374288753977706
スリーブラザーズピザ,,〒020-0132 岩手県盛岡市西青山２丁目２６−２０,,https://maps.google.com/?cid=17444727963797793145
桜茶寮,,〒020-0024 岩手県盛岡市菜園１丁目１２−３,https://www.facebook.com/sakurasaryo/,https://maps.google.com/?cid=16496276809513864111
サリサリカリー盛岡,,〒020-0023 岩手県盛岡市内丸５−３ ２階,https://www.facebook.com/sarisaricurrymorioka/,https://maps.google.com/?cid=18107735822605083886
焼肉レストラン米内,,〒020-0885 岩手県盛岡市紺屋町５−１６,http://www.nikunoyonai.com/,https://maps.google.com/?cid=10722162660438124750
かごのめ,,〒020-0024 岩手県盛岡市菜園２丁目４ 菜園２丁目４−２１−４F,https://kagonome.owst.jp/,https://maps.google.com/?cid=8238904679330750866
たかみ屋,,〒020-0878 岩手県盛岡市肴町３−２０,,https://maps.google.com/?cid=15551806341779213080
レストランユキノヤ,,〒020-0015 岩手県盛岡市本町通２丁目１７−１,,https://maps.google.com/?cid=4245086019535468483
つぼ半,,〒020-0024 岩手県盛岡市菜園２丁目６−３２,,https://maps.google.com/?cid=8323689370091913369
ロブフォートンズ 盛岡店,,〒020-0021 岩手県盛岡市中央通１丁目９−１１ CUBE映画館通りビル B1,http://robphoton.com/,https://maps.google.com/?cid=1929278828946560663
Cafe&Bar Calm -カーム-,,〒020-0851 岩手県盛岡市向中野１丁目１７−１０ YS ビル 1F,https://www.calm-morioka.com/,https://maps.google.com/?cid=2104804654565106626
BuonO BuonO,,〒020-0878 岩手県盛岡市肴町１０−５,,https://maps.google.com/?cid=5132802561559479185
玉山支所前食堂,,〒020-0201 岩手県盛岡市日戸鷹高２０−２２,,https://maps.google.com/?cid=17223748503389274429
そば処 東家 本店,,〒020-0871 岩手県盛岡市中ノ橋通１丁目８−３,http://www.wankosoba-azumaya.co.jp/,https://maps.google.com/?cid=2351770530681640355
そば処 東家 大手先店,,〒020-0023 岩手県盛岡市内丸１７−４０,http://www.wankosoba-azumaya.co.jp/,https://maps.google.com/?cid=1434410927468225548
そば処 東家 駅前店,,〒020-0034 岩手県盛岡市盛岡駅前通８−１１,http://www.wankosoba-azumaya.co.jp/,https://maps.google.com/?cid=4772598108410397043
Cafe RHINO,,〒020-0026 岩手県盛岡市開運橋通２−３３,https://www.facebook.com/caferhinomorioka/,https://maps.google.com/?cid=10316644301109296156
トレンタ月が丘店,,〒020-0121 岩手県盛岡市月が丘３丁目４０−８０,https://trenta.co.jp/shop/,https://maps.google.com/?cid=18033055797962770088
唐揚げ みたけ,,〒020-0122 岩手県盛岡市みたけ２丁目２２−５０,,https://maps.google.com/?cid=10880562458505363555
Spice Rack-スパイスラック-,カレーのテイクアウト,〒020-0122 岩手県盛岡市みたけ５丁目１８−３６ コーポ フジワラ 3号,https://peraichi.com/landing_pages/view/spicerack,https://maps.google.com/?cid=11389396761064611478
釜石ごん太 みたけ店,,,,
muramatsuri,,〒020-0022 岩手県盛岡市大通５ １丁目５−３ 中村ビル１F,http://muramatsuri.net/,https://maps.google.com/?cid=18156665859279302422
焼鳥たかこう,,〒020-0133 岩手県盛岡市青山２丁目１４−１３,,https://maps.google.com/?cid=10665163404984000597
からあげ専門 まつむら商店 月が丘店,,〒020-0121 岩手県盛岡市月が丘３丁目３０−８,,https://maps.google.com/?cid=4262176443292082586
鳥園,,〒020-0121 岩手県盛岡市月が丘１丁目１−９,https://m.facebook.com/yakitoritorien/?locale2=ja_JP,https://maps.google.com/?cid=10343979054195891570
アンノン,,〒020-0034 岩手県盛岡市盛岡駅前通１５−５ ワールドインGENプラザ 1F,http://www.gen-plaza.com/?page_id=135/,https://maps.google.com/?cid=4561215168326190752
小泉精肉店（有）,,〒020-0127 岩手県盛岡市前九年２丁目１−７,,https://maps.google.com/?cid=422436968457358253
とんかつ むら八 上田店,,〒020-0066 岩手県盛岡市上田４丁目２１−３１,http://murahachi.co.jp/,https://maps.google.com/?cid=13279318914226223811
丼丸,,〒020-0851 岩手県盛岡市向中野７丁目１−３６,http://sasafune.co.jp/,https://maps.google.com/?cid=5434969927899907483
里伊,土日限定のお弁当販売があります,〒020-0874 岩手県盛岡市南大通１丁目１０−１７,http://izakayasai.com/,https://maps.google.com/?cid=2286334411144008678
いなだ珈琲舎,コーヒー豆、スイーツ,〒020-0874 岩手県盛岡市南大通１丁目１２−１７,http://inadacoffee.com/,https://maps.google.com/?cid=11952544014516106663
ワイン酒場 こてぃ,￥３００、￥４００、￥５００のメニューやカレー等があります。オードブルなどは、3日前までの予約で。,〒020-0874 岩手県盛岡市南大通１丁目１１−１２,https://www.instagram.com/winesakaba.qouti/,https://maps.google.com/?cid=4424433878456452246
BLANC -ブラン- BISTRO FRENCH,11時から19時までの販売。,〒020-0023 岩手県盛岡市内丸１７−３８ 杜陵ビル １階,http://www.instagram.com/bistrofrench_blanc/,https://maps.google.com/?cid=9192621601415403681
遠野食肉センター 盛岡木伏店,4月中旬よりラムソーセージのホットドック、ラムつくねのホットドック。,〒020-0034 岩手県盛岡市盛岡駅前通１１−１１ 木伏緑地公園内,http://tonoramu.jp/,https://maps.google.com/?cid=3292721926131896004
炭火やきとり 備長屋 盛岡,焼き鳥,〒020-0125 岩手県盛岡市上堂３丁目２−２６,https://www.hotpepper.jp/strJ000274164/,https://maps.google.com/?cid=10346925771439367634
Nagasawa COFFEE,,〒020-0066 岩手県盛岡市上田１丁目１１−２３,http://www.nagasawa-coffee.net/,https://maps.google.com/?cid=17758908745920810715
ごはん家あっちゃん,,〒020-0066 岩手県盛岡市上田１丁目１１−２８,,https://maps.google.com/?cid=7171709589807488245
ふじやからあげ店 盛岡店,,〒020-0066 岩手県盛岡市上田２丁目６−１,http://fujiyakaraage.com/,https://maps.google.com/?cid=10750199819257808452
にわ・とりのすけ 盛岡大通本店,019-652-6667焼鳥、串カツ、唐揚げの持ち帰りが出来ます,〒020-0022 岩手県盛岡市大通１丁目９−２３,http://www.torinosuke.gr.jp/morioka.html,https://maps.google.com/?cid=17712141742621044851
三寿司菜園総本店,出前部あり,〒020-0024 岩手県盛岡市菜園２丁目５−３,http://www.sanzusi.jp/,https://maps.google.com/?cid=8604935666509538921
Mi Cafeto盛岡店,チーズケーキ テイクアウト 可能です,〒020-0045 岩手県盛岡市盛岡駅西通２丁目１９−２７,http://www.mi-cafeto.com/,https://maps.google.com/?cid=12969296752805408547
菜園マイクロブルワリー with Kitchen,オードブル盛り合わせ1200円　℡019－606-0171,〒020-0024 岩手県盛岡市菜園１丁目５−１０ グリムハウス 1F,http://saien-microbrewery.com/,https://maps.google.com/?cid=7676868713787755337
ビアベースベアレン盛岡駅前,ピザテイクアウト（マルゲリータ）　1380円　℡019－601-7110,〒020-0034 岩手県盛岡市盛岡駅前通８−１１ 盛岡駅前ビル 地下1階,https://www.baerenbier.co.jp/beer-base-baeren-moriokaekimae,https://maps.google.com/?cid=11599233897358136931
牛たん炭火焼 仁 盛岡分店,℡問い合わせ　0196015880,〒020-0871 岩手県盛岡市中ノ橋通１丁目１２−１０,http://gyutan-jin.com/,https://maps.google.com/?cid=8482804522566868532
エピストリー　シトロン,定食とお惣菜と焼き菓子のお店。・お弁当・お惣菜・焼き菓子テイクアウトOK。ご予約はお電話で019-613-8183営業時間: 11:00〜18:30（月休）,,,
かわ広,うなぎ,〒020-0874 岩手県盛岡市南大通２丁目２−１６,,https://maps.google.com/?cid=14348882114290861090
中華料理餃子の店 白乾児,,〒020-0023 岩手県盛岡市内丸４−８,,https://maps.google.com/?cid=14865691817347437113
蕎麦将軍,日替り丼ぶり弁当(500円)、とうめし弁当(500円)、蕎麦屋の出汁カレー弁当(700円)、生蕎麦とつゆ(500円),〒020-0872 岩手県盛岡市八幡町３−１７,,https://maps.google.com/?cid=7355251284831842160
坂本工房 盛岡店,,〒028-4134 岩手県盛岡市下田陣場 玉山区下田陣場４２−１０７,,https://maps.google.com/?cid=9149917964525560940
タージインドカレー,,〒020-0816 岩手県盛岡市中野１丁目２５−２８,https://www.facebook.com/tajindiancurry,https://maps.google.com/?cid=11061197524994751884
中華料理・八仙閣,,〒020-0102 岩手県盛岡市上田４丁目２１−１,,https://maps.google.com/?cid=6621841363021224219
鴻運台湾料理,,〒020-0127 岩手県盛岡市前九年１丁目９−３９,,https://maps.google.com/?cid=14703061338789677572
NIRVANA 大通本店,,〒020-0022 岩手県盛岡市大通２丁目７−２２ 小原ビル 2Ｆ,http://nirvanafoods.org/,https://maps.google.com/?cid=18331846568892020500
カフェ・ピッツェリア ヴィラ玉山,,〒028-4134 岩手県盛岡市下田船綱４４−１６,http://villa123.jp/,https://maps.google.com/?cid=10937340188419990604
源喜屋盛岡店,,〒020-0022 岩手県盛岡市大通３丁目４−１,https://morioka.genkiya.co.jp/,https://maps.google.com/?cid=9396614428303895001
洋風酒場 コムソワ,,〒020-0022 岩手県盛岡市大通１丁目４−５ Ｂ１Ｆ,,https://maps.google.com/?cid=11341521029174834725
盛岡洋食りんご屋,,〒020-0024 岩手県盛岡市菜園１丁目１１−６ マルノビルB1F,https://yousyoku-ringoya.owst.jp/,https://maps.google.com/?cid=7778282136006584835
クロスヒート,ピザ・オムライス・パスタ・お店メニュー全般,〒020-0022 岩手県盛岡市大通２丁目５−１０ ＪＪ ビル ２Ｆ,https://cpstyle.jp/morioka/shops/20580,https://maps.google.com/?cid=6907028309239165074
じゃじゃめん家 羽琉,混ぜるだけですぐに食べられるじゃじゃ麺セットがテイクアウトできます。,〒020-0066 岩手県盛岡市上田４丁目４−４,http://zyazya.277dav.com/,https://maps.google.com/?cid=6683668894870473739
ステーキ＆グリル MARU3,ステーキ専門店。ローストビーフ丼、ステーキ弁当（各種）、牛カツ弁当、バンバーク弁当、サラダ全集類、ビーフシチュー、牛タンシチュー、フライドポテトなど、テイクアウトOKご予約　019-656-8003営業時間: 11:00～14:00、17:30～23:00（日曜休）,〒020-0878 岩手県盛岡市肴町１０−１０,https://www.maru3-morioka.com/,https://maps.google.com/?cid=3364227273364945907
Naïf(ナイーフ),スイーツ専門店,〒020-0132 岩手県盛岡市西青山２丁目８−１０,https://www.instagram.com/naifcake/?hl=ja,https://maps.google.com/?cid=4440188959000011539
Cafe Pont Chat,https://instagram.com/pont_chat1997?igshid=1uh95o8qr2r9s,,,
駅前炭串屋とりぼん 盛岡駅前店,担当者は小森さんです。,〒020-0034 岩手県盛岡市盛岡駅前通８−１４,https://akr0751585090.owst.jp/,https://maps.google.com/?cid=11074494462752566936
イタリアン酒場サルーテ,2～3日前までの要予約でテイクアウト弁当🍱税込980円(即席生みそ汁付き)～その他ご予算に応じます。10個前後からのご注文となります。,〒020-0022 岩手県盛岡市大通１丁目１１−１８,http://salute2009.web.fc2.com/,https://maps.google.com/?cid=4704939422806005319
じゃじゃ麺と酒の肴 㐂作,,〒020-0878 岩手県盛岡市肴町６−９,,https://maps.google.com/?cid=10449419467396972770
吉浜食堂,紫波豚スパイスカレー,,,
めんくい屋,皿うどん、餃子、炒飯など,〒020-0023 岩手県盛岡市内丸６−４,,https://maps.google.com/?cid=7054468587523234580
