shop_name,biko,address,homepage_address,google_map_url,tel
ばぁばキッチン,,〒028-1116 岩手県上閉伊郡大槌町本町１ 1番13号,https://sanriku-yataimura-otsuchi.jp/store/s01/,https://maps.google.com/?cid=13615832911990635804,+81 193-24-9001
チャリカフェ（内金崎自転車商会）,,〒028-1117 岩手県上閉伊郡大槌町末広町１２−１４,https://www.facebook.com/charicafe.otsuchi/,https://maps.google.com/?cid=14176913024923790371,+81 193-27-5888
どんりゅう庵,,〒028-1116 岩手県上閉伊郡大槌町本町１−１７,,https://maps.google.com/?cid=9589619670460653940,+81 193-41-1777
ホテルサンルート釜石,仕出しあり,〒026-0024 岩手県釜石市大町２丁目３−３,http://hsrkam.lix.jp/,https://maps.google.com/?cid=18406420978419402695,+81 193-24-3311
（株）新華園 本店,,〒026-0024 岩手県釜石市大町２丁目１−２０,http://ameblo.jp/shinkanen/page-5.html,https://maps.google.com/?cid=10796962701316611888,+81 193-22-1888
なにわや,080-3330-3958https://localplace.jp/sp/t100464281/menu/2/,〒026-0024 岩手県釜石市大町１丁目２−１０ タウンポート大町 1-C,https://www.google.co.jp/amp/s/s.tabelog.com/iwate/A0304/A030402/3010716/top_amp/,https://maps.google.com/?cid=13546233965873641048,+81 80-3330-3958
マルワマート 大町店,,〒026-0024 岩手県釜石市大町１丁目１０−６,https://maruwamart.co.jp/,https://maps.google.com/?cid=8736077357534327426,+81 193-24-3726
大正軒,たこ焼き15個500円,〒026-0025 岩手県釜石市大渡町１丁目７−１１,,https://maps.google.com/?cid=7868926024070910252,+81 193-24-2922
ベック Bec'k,4/17よりテイクアウト開始。店主facebookに詳細https://www.facebook.com/profile.php?id=100007362706698,〒026-0024 岩手県釜石市大町１丁目３−１２,,https://maps.google.com/?cid=3335771883961391554,
ＴＯＫＵＺＯ,http://kamaishi-town.com/archives/8400604.html,〒026-0024 岩手県釜石市大町１丁目４−１,,https://maps.google.com/?cid=6574257862646248317,+81 193-22-5677
釜石ラーメン 大連,一部商品のみ,〒026-0024 岩手県釜石市大町１丁目２−１０,,https://maps.google.com/?cid=15846879364215726204,+81 193-22-1230
回転ずし ずいほう,,〒026-0021 岩手県釜石市只越町１丁目１−２１,,https://maps.google.com/?cid=11393686166717729455,+81 193-27-8284
料亭 幸楼,お弁当注文承り中とのこと。,〒026-0013 岩手県釜石市浜町３丁目１３−６,,https://maps.google.com/?cid=6001173646318482917,+81 193-22-3017
和の膳みや川,,〒026-0031 岩手県釜石市鈴子町２−１,,https://maps.google.com/?cid=3279402525928879006,+81 193-22-1234
新来軒,https://retty.me/area/PRE03/ARE363/SUB25702/100001196567/menu/,〒026-0053 岩手県釜石市定内町３丁目１６−１４,,https://maps.google.com/?cid=14960266355799238270,+81 193-55-6077
あゆとく,https://retty.me/area/PRE03/ARE363/SUB25702/100000855177/menu/,〒026-0041 岩手県釜石市上中島町１丁目１−３５,https://ayutoku.com/,https://maps.google.com/?cid=14792858196529506771,+81 193-23-5099
釜石・更科,出前を行っているそうです。,〒026-0052 岩手県釜石市小佐野町１丁目１−２６,https://www.facebook.com/%E3%81%9D%E3%81%B0%E5%87%A6-%E9%87%9C%E7%9F%B3-%E6%9B%B4%E7%A7%91-223528871152873/,https://maps.google.com/?cid=14498678660125708460,+81 193-23-5103
よつばや,https://yotubaya.crayonsite.net/p/4/,〒026-0055 岩手県釜石市甲子町第９地割 甲子町第９地割４６,https://yotubaya.crayonsite.net/,https://maps.google.com/?cid=3536200318901394714,
パンの国,,〒026-0054 岩手県釜石市野田町１丁目１２−１８,,https://maps.google.com/?cid=5618264464465011363,+81 193-23-8092
古川食堂,電話予約で仕出しのお弁当を作ってくれます,〒026-0301 岩手県釜石市鵜住居町第１６地割１,,https://maps.google.com/?cid=16028661369633347113,
沢口製パン,,〒026-0301 岩手県釜石市鵜住居町第８地割３６−１,,https://maps.google.com/?cid=15493933215993805632,+81 193-28-2132
あんでるせん,http://touhoku.me/andersen/,〒026-0302 岩手県釜石市片岸町第９地割260番地,http://touhoku.me/andersen/,https://maps.google.com/?cid=2008781650714104897,+81 193-28-4466
ほっかほっか亭 釜石新町店,,〒026-0043 岩手県釜石市新町９−９,https://www.hokkahokka-tei.jp/,https://maps.google.com/?cid=2529083687292110507,+81 193-27-5822
かまどや 大渡店,,〒026-0025 岩手県釜石市大渡町３丁目１２−１４,https://www.honkekamadoya.co.jp/shop/1101030070,https://maps.google.com/?cid=16607249633624027626,+81 193-22-2231
かっぱ寿司 釜石店,,〒026-0034 岩手県釜石市中妻町２丁目１−２,https://www.kappasushi.jp/,https://maps.google.com/?cid=11098518345132011442,+81 193-21-5166
大戸屋ごはん処 イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１ イオンタウン釜石店 2F,https://www.ootoya.com/,https://maps.google.com/?cid=7346108105365879839,+81 193-55-5364
吉野家 イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１ イオンタウン釜石 ２Ｆ,https://stores.yoshinoya.com/ysn_046929,https://maps.google.com/?cid=9238108949358298355,+81 193-55-6254
ペッパーランチ イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１ イオンタウン釜石,http://www.pepperlunch.com/,https://maps.google.com/?cid=16140213984503959631,+81 193-55-6992
まるまつ 釜石店,,〒026-0034 岩手県釜石市中妻町３丁目１−１１,http://www.re-marumatu.co.jp/marumatsu/choushoku.html,https://maps.google.com/?cid=7076881386880639002,+81 193-25-1177
モスバーガー イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１,https://ssl.mos.jp/shop/detail/08037/,https://maps.google.com/?cid=4267814013176108892,+81 193-31-1770
ミスタードーナツイオンタウン釜石ショップ,,〒026-0011 岩手県釜石市港町２丁目１−１,https://www.misterdonut.jp/,https://maps.google.com/?cid=13806181660129679806,+81 193-22-1070
まきば,テイクアウトを始めたとのこと。詳細はインスタをご確認ください。,〒026-0043 岩手県釜石市新町９−１１,,https://maps.google.com/?cid=17230669517200350216,+81 193-23-7887
ＨＡＭＡＹＵＩ（一時休業中）,,〒026-0012 岩手県釜石市魚河岸３−３ 2F,http://hamayui.jimdo.com/,https://maps.google.com/?cid=10649185927954215592,+81 193-55-6616
三陸ぱすた（一時休業中）,テイクアウト対応中。,〒026-0024 岩手県釜石市大町１丁目３−８ 漁火酒場かまりば,https://www.facebook.com/sanrikupasta/,https://maps.google.com/?cid=11364695573230091689,+81 70-1183-7260
カフェ＆バル・ルポゼ,,〒022-0006 岩手県大船渡市立根町岩脇４−６,,https://maps.google.com/?cid=9729871139866649740,+81 192-26-7488
