shop_name,biko,address,homepage_address,google_map_url
shop_name,biko,address,homepage_address,google_map_url
マルカンビル大食堂,https://www.facebook.com/marukanshokudo/,〒025-0087 岩手県花巻市上町６−２,https://marukanshokudo.business.site/,https://maps.google.com/?cid=5270773668814395706
The Roast,,〒025-0078 岩手県花巻市吹張町９−１５,https://www.facebook.com/theroasthanamaki/,https://maps.google.com/?cid=8419152231272997323
Lit work place,,〒025-0092 岩手県花巻市大通り１丁目７−４０,https://www.instagram.com/litworkplace,https://maps.google.com/?cid=15429243948093791103
スープカレーハウスしっぽ,,〒025-0073 岩手県花巻市一日市６−１,https://www.shipposoupcurry.jp/,https://maps.google.com/?cid=12783872273323879978
JOE'S LOUNGE,,〒025-0092 岩手県花巻市大通り１丁目４−１４ 小友ビル 1F,https://www.facebook.com/joeslounge1/,https://maps.google.com/?cid=14665672239852418236
日和佐,,〒025-0075 岩手県花巻市花城町１１−４１,http://hiwasa.277dav.com/,https://maps.google.com/?cid=15591383688814584576
嘉司屋,,〒025-0088 岩手県花巻市東町２−１９,https://www.wankosoba-kajiya.jp/%E3%81%8A%E5%93%81%E6%9B%B8%E3%81%8D/,https://maps.google.com/?cid=18257026768595197650
ココ・タベルバ・ラパン,,〒025-0097 岩手県花巻市若葉町３丁目１４−３０,https://www.facebook.com/coco.aruba.25/,https://maps.google.com/?cid=15274402436085883299
カレーだJ,https://www.facebook.com/currydaj/,〒025-0016 岩手県花巻市高木第１０地割３０−３,http://currydaj.jp/,https://maps.google.com/?cid=588940121543111050
はいからや（ＨＡＩＫＡＲＡ−ＹＡ）,,〒025-0039 岩手県花巻市諏訪町２丁目１−１４,https://haikara-ya.com/,https://maps.google.com/?cid=5555364952056842728
石窯PIZZAバル四季,,〒025-0066 岩手県花巻市松園町１丁目１−４０,,https://maps.google.com/?cid=15178271534951128512
HANAMAKIモダンチャイニーズ蓮Ren,,〒025-0079 岩手県花巻市末広町２−１３ 1階,https://www.facebook.com/ren.hanamaki/,https://maps.google.com/?cid=18440149865177114214
いしどりや 新亀家,,〒028-3101 岩手県花巻市石鳥谷町好地第１６地割５２−２５,,https://maps.google.com/?cid=6059247201316907816
たいまぐら食堂,要予約です。事前にご連絡をお願いします。,〒028-3101 岩手県花巻市石鳥谷町好地第１６地割１３４−４,,https://maps.google.com/?cid=10886075191879497506
インド&ネパール料理 インドカレー パナス,,〒025-0097 岩手県花巻市若葉町１丁目６−２７,,https://maps.google.com/?cid=16177464111573243169
ポパイ,,〒025-0097 岩手県花巻市若葉町３丁目１１−１７,,https://maps.google.com/?cid=4931733254745246764
すし処 えにし,他、一品メニューも対応できます。先ずはお電話お願い致します。,〒028-3203 岩手県花巻市大迫町大迫第３地割１０３,https://sushi-restaurant-483.business.site/,https://maps.google.com/?cid=8768086097719550682
東和温泉,,〒028-0115 岩手県花巻市東和町安俵６区１３５,http://www.towa-spa.co.jp/,https://maps.google.com/?cid=9687982592476938676
Sobe’s Cafe,https://www.facebook.com/SobesCafe/,〒025-0024 岩手県花巻市山の神５７８−４,http://cafe.sobe.jp/,https://maps.google.com/?cid=10887941608958671911
おやつショップたこ助,メニューは、たこ焼き、たい焼き、フランクフルト、唐揚げ、タピオカなどです\(( °ω° ))/,〒025-0315 岩手県花巻市二枚橋町南１丁目６−２,,https://maps.google.com/?cid=2263132331287077431
まるまつ 花巻店,,〒025-0084 岩手県花巻市桜町４丁目１９４−１,http://www.re-marumatu.co.jp/marumatsu/menu.html,https://maps.google.com/?cid=7803468359411444752
源喜屋,,〒025-0075 岩手県花巻市花城町１２−１４ 銀河タウン舘坂1F,https://hanamaki.genkiya.co.jp/,https://maps.google.com/?cid=7698403317010075159
孝和園,,〒028-0113 岩手県花巻市東和町東晴山７区７,,https://maps.google.com/?cid=1090435327399316280
とり一,要予約（18時までに）営業時間：17:00~20:00,〒025-0086 岩手県花巻市鍛治町８−３,,https://maps.google.com/?cid=1374175618396544085
御宿玉川,前日予約です。,〒025-0092 岩手県花巻市大通り１丁目１９−２８,,https://maps.google.com/?cid=7334184425753068159
居酒屋 呑兵衛,https://www.facebook.com/izakayadonbe/,〒025-0085 岩手県花巻市双葉町５−２１,,https://maps.google.com/?cid=13427257517675192292
イル・クオーレ,https://www.facebook.com/iwateilcuore/,〒025-0066 岩手県花巻市松園町１丁目４−１,,https://maps.google.com/?cid=17716997101895846277
早池峰,,〒025-0093 岩手県花巻市南川原町２８３,https://cpstyle.jp/iwate/shops/8052,https://maps.google.com/?cid=9911546271983080819
かぐら,,〒025-0093 岩手県花巻市南川原町２８３ ＢＦ1,https://cpstyle.jp/iwate/shops/33576,https://maps.google.com/?cid=2010099382757487668
焼肉・冷麺ヤマト 花巻店,https://twitter.com/yamato_198609,〒025-0065 岩手県花巻市星が丘１丁目９−１０,http://www.yamato55.com/,https://maps.google.com/?cid=9487195459146068463
Ｌｅｇａｍｅ,https://www.instagram.com/legameitarian/https://www.facebook.com/legame4569/,〒025-0078 岩手県花巻市吹張町１２−１２−５,http://legamehanamaki.blog.fc2.com/,https://maps.google.com/?cid=13667573118141710365
アルテマルカン 桜台店,ファーストフードのテイクアウトhttps://www.facebook.com/artesakuradai/https://twitter.com/marukan_group,〒025-0064 岩手県花巻市桜台１丁目１２−１２,http://www.marukan-group.jp/shop/sakuradai.html,https://maps.google.com/?cid=11999975490212611210
クラムボン,こんにちは！イトーヨーカドー花巻店フードコート1階クラムボンです！いつもご利用いただきありがとうございます。【喫茶クラムボン】では・自家焙煎をはじめとした淹れたて♡のコーヒーやラテ・人気のクレープ各種・ソフトクリームやパフェにあんみつ！などなど、メニュー全品がお持ち帰りオッケー！【うどん そば　クラムボン】では・おにぎり各種・天ぷら各種をお持ち帰り対応しております。天ぷらは特製のつゆをお付けしますよ♪（ご希望の場合のみ）なお、おにぎりと天ぷらは売り切れている場合もございます。ご心配な方はお電話くださいませ！自粛ムードですが、おうちで楽しんでくださいね♡こんな時だからこそ、笑顔でみなさまのお越しをお待ちしております！,〒025-0063 岩手県花巻市下小舟渡１１８−１ イトーヨーカドー花巻店 1F,,https://maps.google.com/?cid=10178850244960341731
わいわい屋,https://www.facebook.com/waiwaiya.hanamaki/,〒025-0085 岩手県花巻市双葉町２−１６,,https://maps.google.com/?cid=12915432035467616599
きのえね寿司,"テイクアウトは夜のみ一人前2,500円（1日15食限定）その日によってネタや貫数が変わります",〒025-0085 岩手県花巻市双葉町５−２２,,https://maps.google.com/?cid=16606754874460386202
中国料理 神龍,お弁当、オードブルは要予約です。（季節によって内容が変わります）一品料理も注文を受けてから作りますのでお時間のご了承をお願いいたします。,〒025-0078 岩手県花巻市吹張町８−１０,,https://maps.google.com/?cid=6269217926522128216
shop_name,biko,address,homepage_address,google_map_url
マルカンビル大食堂,https://www.facebook.com/marukanshokudo/,〒025-0087 岩手県花巻市上町６−２,https://marukanshokudo.business.site/,https://maps.google.com/?cid=5270773668814395706
The Roast,,〒025-0078 岩手県花巻市吹張町９−１５,https://www.facebook.com/theroasthanamaki/,https://maps.google.com/?cid=8419152231272997323
Lit work place,,〒025-0092 岩手県花巻市大通り１丁目７−４０,https://www.instagram.com/litworkplace,https://maps.google.com/?cid=15429243948093791103
スープカレーハウスしっぽ,,〒025-0073 岩手県花巻市一日市６−１,https://www.shipposoupcurry.jp/,https://maps.google.com/?cid=12783872273323879978
JOE'S LOUNGE,,〒025-0092 岩手県花巻市大通り１丁目４−１４ 小友ビル 1F,https://www.facebook.com/joeslounge1/,https://maps.google.com/?cid=14665672239852418236
日和佐,,〒025-0075 岩手県花巻市花城町１１−４１,http://hiwasa.277dav.com/,https://maps.google.com/?cid=15591383688814584576
嘉司屋,,〒025-0088 岩手県花巻市東町２−１９,https://www.wankosoba-kajiya.jp/%E3%81%8A%E5%93%81%E6%9B%B8%E3%81%8D/,https://maps.google.com/?cid=18257026768595197650
ココ・タベルバ・ラパン,,〒025-0097 岩手県花巻市若葉町３丁目１４−３０,https://www.facebook.com/coco.aruba.25/,https://maps.google.com/?cid=15274402436085883299
カレーだJ,https://www.facebook.com/currydaj/,〒025-0016 岩手県花巻市高木第１０地割３０−３,http://currydaj.jp/,https://maps.google.com/?cid=588940121543111050
はいからや（ＨＡＩＫＡＲＡ−ＹＡ）,,〒025-0039 岩手県花巻市諏訪町２丁目１−１４,https://haikara-ya.com/,https://maps.google.com/?cid=5555364952056842728
石窯PIZZAバル四季,,〒025-0066 岩手県花巻市松園町１丁目１−４０,,https://maps.google.com/?cid=15178271534951128512
HANAMAKIモダンチャイニーズ蓮Ren,,〒025-0079 岩手県花巻市末広町２−１３ 1階,https://www.facebook.com/ren.hanamaki/,https://maps.google.com/?cid=18440149865177114214
いしどりや 新亀家,,〒028-3101 岩手県花巻市石鳥谷町好地第１６地割５２−２５,,https://maps.google.com/?cid=6059247201316907816
たいまぐら食堂,要予約です。事前にご連絡をお願いします。,〒028-3101 岩手県花巻市石鳥谷町好地第１６地割１３４−４,,https://maps.google.com/?cid=10886075191879497506
