title,description,address,homepage_address,google_map_url,tel
カフェ温心～On Heart～,通常のテイクアウトメニューに加え、お弁当、オードブルなどできる限りご要望にご対応いたします。お気軽にお電話ください。℡0193-65-8505||※メニュー写真は一例です。,〒027-0086 岩手県宮古市新町１−２,https://www.facebook.com/OnHeart20170630/,https://maps.google.com/?cid=15417986833163205572,0193-65-8505
Cafeすとぅーぱ,【テイクアウトメニュー】パスタ、ピラフ、ホットサンド、カレー、ケーキ類、コーヒー、紅茶etc・・・ALL700円,〒027-0038 岩手県宮古市小山田２丁目５−８,,https://maps.google.com/?cid=945193343190664248,0193-77-3393
浄土ヶ浜旅館 / 味処海舟,◼️ Ryoutei Dell テイクアウトandデリバリー◼️||【4月4日（土）～4月26日（日）の期間限定で、お持ち帰り料理、または出前デリバリーで20%ＯＦＦキャンペーンを開催中★！！】||テイクアウトandデリバリー メニューで、人気のメニューやオススメメニューをまとめました🎵||ただいま、20%OFFキャンペーン中ですので、チラシのお値段よりお安くなります⭐︎‼︎||この他、味処海舟のレストランメニューのお持ち帰りや配達もできます♪!||【かなりの！オススメ】|花見カキフライごはんセット||月曜日は定休日のため、お休みとさせていただきます。予めご了承くださいませ。||皆様のご利用をおまちしております🌟,〒027-0091 岩手県宮古市築地１丁目１−３８,http://jyoudogahamakaisyu.jp/,https://maps.google.com/?cid=12289218132512370499,0193-62-1319
ごち,３日前のご予約でお弁当やオードブルなどご予算に応じてお作りいたします。||※ご予約はお電話で承ります。||日・月定休,〒027-0052 岩手県宮古市宮町２丁目２−１,,https://maps.google.com/?cid=4772099803546551544,080-3325-2169
ダイニングバーｕｍｅＹａｓｕ,ご注文テイクアウトお待ちしております😊||【注文方法】|am9:00～pm9:00|電話注文. ☎0193-77-4500||・ホームパーティー母の日のサプライズ１週間のご褒美などお手伝いさせて頂けたら幸いです。|・平日の午前中までの注文でしたら当日の夕方にはご用意させて頂きます。|日曜日のご用意は前日の夕方までの注文でお願い致します。|・ご要望に添いたいと思いますのでお電話でご相談下さいませ。,〒027-0083 岩手県宮古市大通１丁目４−１３,,https://maps.google.com/?cid=15559297901609727817,0193-77-4500
和La伊,パスタ、ピザなど|4/23～店内休業。テイクアウトのみ対応の予定。,〒027-0373 岩手県宮古市田老向新田２３０−４,,https://maps.google.com/?cid=7600910677710504792,0193-87-5810
串カツ とんとん,串カツ、串カツ盛り合わせ,〒027-0083 岩手県宮古市大通４丁目３−３,,https://maps.google.com/?cid=269094936852479721,
ラターシュ,,〒027-0086 岩手県宮古市新町１−１,,https://maps.google.com/?cid=9521345892942927325,0193-77-3600
（有）丸徳,MARUTOKUテイクアウトセットをご用意してお待ちしております。その他、揚げかまぼこ、ミヤコロッケ、ランチボール等もご用意しておりますのでお気軽にお立ち寄りください。,〒027-0021 岩手県宮古市藤原２丁目４−１６,https://marutoku1.jp/,https://maps.google.com/?cid=10014755969882640195,0193-62-6646
永同園,,〒027-0052 岩手県宮古市宮町４丁目５−２１,,https://maps.google.com/?cid=5419132951414426375,0193-62-0681
焼肉居酒家よんどん,お弁当,〒027-0083 岩手県宮古市大通３丁目１−１,,https://maps.google.com/?cid=14893891438202854349,0193-63-4649
焼肉 永同園 大通り支店(旧穴蔵が名称変更),,〒027-0083 岩手県宮古市大通２丁目３−２０,,https://maps.google.com/?cid=15910474503178093461,
トマト＆オニオン 宮古店,※4/24までテイクアウト10%OFF||※当面の間、11:00-21:00(LO)||※4/25(土)～5/6(水)はコロナウイルス感染拡大抑止のため営業休止||弁当、ハンバーグ、ピザ、パスタ、おつまみ|TELにて事前予約|注文から30分程度。|税抜3000円以上で近隣配達も。,〒027-0052 岩手県宮古市宮町１丁目３−１７,https://www.tomato-a.co.jp/tomatoonion/,https://maps.google.com/?cid=3436900902088159695,
大戸屋ごはん処 岩手宮古店,※4/25(土)～5/6(水)はコロナウイルス感染拡大抑止のため営業休止|弁当、おかず単品、唐揚げ、オードブル|Telnet事前注文,〒027-0053 岩手県宮古市長町１丁目１−３,https://www.ootoya.com/,https://maps.google.com/?cid=6648454732472670251,0193-65-6565
大衆わいん酒場 のらくら,,〒027-0083 岩手県宮古市大通１丁目１−３−１６　焼き鳥だるま隣,,https://maps.google.com/?cid=2614391439036356447,0193-62-8909
若尾寿司,,〒027-0082 岩手県宮古市向町５−１７,,https://maps.google.com/?cid=312545218704885362,0193-62-8042
（有）蛇の目 本店,配達はTELください。(30分圏内、田老、重茂も含む)|ちらし・にぎり・巻物、各メニュー、出前、テイクアウト受付けています||営業時間短縮中：10:00-19:30(LO)|水曜定休,〒027-0076 岩手県宮古市栄町２−８,,https://maps.google.com/?cid=16110268485695412338,
おかめ,上ヒレカツ弁当、天ぷら弁当、天丼,〒027-0084 岩手県宮古市末広町１−１８,http://www.okame.fhd.jp/,https://maps.google.com/?cid=12468151481865112534,0193-62-2456
鳥もと,オードブル、レトルトカレーなど,〒027-0083 岩手県宮古市大通２丁目６−１２,https://www.torimoto.jp/chicken.html,https://maps.google.com/?cid=4179115659993578871,0193-63-6776
冨士乃屋,【テイクアウトメニュー】|炒飯、焼きそばetc||【ご利用方法】|店にtelして注文、店頭での受取り|TEL0193-62-2230||【お支払い方法】|現金のみ,〒027-0084 岩手県宮古市末広町５−３,,https://maps.google.com/?cid=12331740269845192827,
喜福,中華料理。現在も出前注文を承っていました。,〒027-0085 岩手県宮古市黒田町７−１９,,https://maps.google.com/?cid=6482933235849478498,0193-62-1344
川俣,天ぷら等テイクアウト情報あります。|TELにて事前注文。メニューなど詳細はHP参照とのことです|http://www.kappou-kawamata.com/|11:30-13:00|17:00-22:00|日曜定休,〒027-0083 岩手県宮古市大通１丁目４−１１,http://kappou-kawamata.com/,https://maps.google.com/?cid=3876618792953050090,
