shop_name,biko,address,homepage_address,google_map_url
せとる,,〒028-6105 岩手県二戸市堀野大川原毛５２−２,,https://maps.google.com/?cid=7715396513685461378
ファミリーレストランよしの,,〒028-6105 岩手県二戸市堀野大川原毛１１１−１３,,https://maps.google.com/?cid=16476907129788699587
cafe stand oli−oli,,〒028-6105 岩手県二戸市堀野大川原毛１０６−１４,,https://maps.google.com/?cid=16633812588664751958
食事処竹はる,,〒028-6105 岩手県二戸市堀野長地７０,,https://maps.google.com/?cid=8611062903484325048
鮨処たけ田,,〒028-6105 岩手県二戸市堀野馬場４６−４,,https://maps.google.com/?cid=8559710539698890773
金次屋,,〒028-6101 岩手県二戸市福岡下中町１９,,https://maps.google.com/?cid=15371169411996336852
フルハウス,,〒028-6101 岩手県二戸市福岡下中町１３,,https://maps.google.com/?cid=12208457875660234502
串揚げ居酒屋一生,,〒028-6101 岩手県二戸市福岡字下川又４−３,,https://maps.google.com/?cid=12394401639329238814
豆七亭,,〒028-6101 岩手県二戸市福岡城ノ外８−５,http://ninohe-kanko.com/gourmet/2516,https://maps.google.com/?cid=14688253026120750304
ハウスオブピクニック,,〒028-6101 岩手県二戸市福岡橋場６−５,,https://maps.google.com/?cid=10559469935532720066
せとる,,〒028-6105 岩手県二戸市堀野大川原毛５２−２,,https://maps.google.com/?cid=7715396513685461378
ファミリーレストランよしの,,〒028-6105 岩手県二戸市堀野大川原毛１１１−１３,,https://maps.google.com/?cid=16476907129788699587
cafe stand oli−oli,,〒028-6105 岩手県二戸市堀野大川原毛１０６−１４,,https://maps.google.com/?cid=16633812588664751958
食事処竹はる,,〒028-6105 岩手県二戸市堀野長地７０,,https://maps.google.com/?cid=8611062903484325048
鮨処たけ田,,〒028-6105 岩手県二戸市堀野馬場４６−４,,https://maps.google.com/?cid=8559710539698890773
金次屋,,〒028-6101 岩手県二戸市福岡下中町１９,,https://maps.google.com/?cid=15371169411996336852
フルハウス,,〒028-6101 岩手県二戸市福岡下中町１３,,https://maps.google.com/?cid=12208457875660234502
串揚げ居酒屋一生,,〒028-6101 岩手県二戸市福岡字下川又４−３,,https://maps.google.com/?cid=12394401639329238814
豆七亭,,〒028-6101 岩手県二戸市福岡城ノ外８−５,http://ninohe-kanko.com/gourmet/2516,https://maps.google.com/?cid=14688253026120750304
ハウスオブピクニック,,〒028-6101 岩手県二戸市福岡橋場６−５,,https://maps.google.com/?cid=10559469935532720066
橋本屋食堂／隠れ家キッチンSORA,,〒028-6101 岩手県二戸市福岡橋場２１−３ ビル A２階,http://instagram.com/@hashimotoya.sora,https://maps.google.com/?cid=2976622193293907620
