shop_name,biko,address,homepage_address,google_map_url
鮨・季節料理ささき,営業時間11:30～14:00、17:00～22:00定休日　月曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前 大船渡町茶屋前３ー２ー２１１０,https://sushi-sasaki.jp/,https://maps.google.com/?cid=4913282263710592082
神菜月,営業時間11:45~14:00、17:00～23:00定休日　火曜日、土曜日昼,〒022-0002 岩手県大船渡市大船渡町茶屋前８−８,,https://maps.google.com/?cid=5450324917304695105
オオフナトのケムリ,営業時間11:00～15:00、17:00～22:00定休日：木曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前３−２,https://m.facebook.com/OFUNATONOKEMURI/,https://maps.google.com/?cid=17649409059775099833
貝だしラーメン黒船Second,ランチ11:00〜15:00（LO14:45) 夜17:00〜19:30(LO19:30）定休日　日曜夜、月曜,〒022-0002 岩手県大船渡市大船渡町茶屋前３−２−２１４０,,https://maps.google.com/?cid=4606348504257783821
RACCOS BURGER OFUNATO(KESEN ROCK FREAKS),営業時間17:00～23:00テイクアウト対応時間18:00〜22:30定休日:木曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前3−２−２４１０,http://go-freaks.com/,https://maps.google.com/?cid=9584731108953110206
Noi Mare,営業時間、17:30～25:00定休日：月曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前 茶屋 前 3-2 キャッ セン フード ビレッジ,https://www.facebook.com/Osteria-Noi-Mare-%E3%83%8E%E3%82%A4%E3%83%9E%E3%83%BC%E3%83%AC-Pizza-Pasta-737514199636588/,https://maps.google.com/?cid=1817791320893253753
海山酒場,テイクアウト対応時間　11:00〜14:00、17:30～25:00定休日：月曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前 茶屋 前 3-2 キャッセン 大船渡 フード ビレッジ,https://mobile.twitter.com/kaizansakaba,https://maps.google.com/?cid=5669118094363321150
湾岸食堂,12:00-14:00、18:00-22:00定休日　木曜日昼、日曜日,〒022-0002 岩手県大船渡市大船渡町野々田１０−３,http://kyassen.co.jp/shop_data/%E6%B9%BE%E5%B2%B8%E9%A3%9F%E5%A0%82/,https://maps.google.com/?cid=10250587828786831333
三陸おさかな ファクトリー,テイクアウト対応時間　10:00〜15:00定休日　火曜日、第二水曜日,〒022-0002 岩手県大船渡市大船渡町野々田１０−３,http://sanriku-osakanafactory.com/,https://maps.google.com/?cid=3444726988465919767
Hy's Cafe ハイズカフェ,テイクアウト対応時間11:30～16:00定休日　月曜日（不定休）,〒022-0002 岩手県大船渡市大船渡町野々田,,https://maps.google.com/?cid=4178844258735079314
北の味処 鰣不知（ときしらず）,営業時間　17:30〜23:00定休日　火曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前４１−２,,https://maps.google.com/?cid=16836224279899846432
Bobbers,営業時間　17:30〜23:00テイクアウトラストオーダー　21:00,〒022-0002 岩手県大船渡市大船渡町茶屋前４５−１,https://ofunato.jp/Summary/info/382,https://maps.google.com/?cid=7157196453502894842
西苑飯店,営業時間　11:30〜14:30、17:00〜21:00定休日　木曜日,〒022-0002 岩手県大船渡市大船渡町野々田１２−３,,https://maps.google.com/?cid=3385969328783778780
居酒屋 成功丸,営業時間　17：30〜24：00定休日　水曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前５１−８,,https://maps.google.com/?cid=14325101961369049999
くいもんや わい,受付時間　11:00〜17:00定休日　火曜日,〒022-0002 岩手県大船渡市大船渡町野々田１８−１０,https://hitosara.com/0006093202/,https://maps.google.com/?cid=14801465431635679154
Cafe de Curry KOJIKA,定休日　毎週月曜日,〒022-0002 岩手県大船渡市大船渡町野々田２３−１,https://www.instagram.com/cafedecurrykojika/,https://maps.google.com/?cid=17085444396474304290
Another World Bar KEIJI,テイクアウト可能時間　19:00〜23:00定休日　火曜日,,,
鮨・季節料理ささき,営業時間11:30～14:00、17:00～22:00定休日　月曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前 大船渡町茶屋前３ー２ー２１１０,https://sushi-sasaki.jp/,https://maps.google.com/?cid=4913282263710592082
神菜月,営業時間11:45~14:00、17:00～23:00定休日　火曜日、土曜日昼,〒022-0002 岩手県大船渡市大船渡町茶屋前８−８,,https://maps.google.com/?cid=5450324917304695105
オオフナトのケムリ,営業時間11:00～15:00、17:00～22:00定休日：木曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前３−２,https://m.facebook.com/OFUNATONOKEMURI/,https://maps.google.com/?cid=17649409059775099833
