shop_name,biko,address,homepage_address,google_map_url
AZUMANE倉庫,,〒028-3346 岩手県紫波郡紫波町下松本上渡89−３,https://www.google.co.jp/amp/s/s.tabelog.com/iwate/A0301/A030103/3010379/top_amp/,https://maps.google.com/?cid=17647062720882065134
SUNSET,,〒028-3306 岩手県紫波郡紫波町日詰西２丁目１−６,https://gts007.exblog.jp/,https://maps.google.com/?cid=9379616233588851821
はちすずめ菓子店,,〒028-3305 岩手県紫波郡紫波町日詰郡山駅５３,https://hachisuzume.business.site/,https://maps.google.com/?cid=17817924020750792666
天狗寿司,,〒028-3305 岩手県紫波郡紫波町日詰東裏5,https://www.facebook.com/tengusushi/,https://maps.google.com/?cid=3436514769505311252
藤屋食堂,,〒028-3305 岩手県紫波郡紫波町日詰郡山駅４６,http://228shokudo.com/,https://maps.google.com/?cid=3637177961753132956
じゃじゃめん 八番,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２丁目 紫波中央駅前 ２丁目 ３−１２ オガールベース東棟 1F,https://ja-jp.facebook.com/jajamenhachiban/,https://maps.google.com/?cid=8546044291846220093
ザ・ベイカー,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２丁目３−９４,,https://maps.google.com/?cid=3969343868346426372
potato deli Mameta,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２丁目３−３,,https://maps.google.com/?cid=11633602171520351946
あづまね産直,,〒028-3443 岩手県紫波郡紫波町上松本内方 上松本字内方117,,https://maps.google.com/?cid=13799447669202589126
紫波マルシェ,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２−３−３,http://ogal-shiwa.com/news/,https://maps.google.com/?cid=5739141203498662460
紫波農園,,〒028-3444 岩手県紫波郡紫波町小屋敷新在家１−１９,,https://maps.google.com/?cid=15322604744309852221
VILLA ROSSO tre 紫波,,〒028-3307 岩手県紫波郡紫波町桜町２丁目１−１,http://villa123.jp/,https://maps.google.com/?cid=15371909916178634865
スープカレーハウスしっぽ矢巾店,,〒028-3615 岩手県紫波郡矢巾町大字南矢幅第１２地割１５−２,http://shipposoupcurry.jp/,https://maps.google.com/?cid=852841873445624323
ほっかほっか亭 日詰店,,〒028-3306 岩手県紫波郡紫波町日詰西２丁目６−１,http://www.hhtmj.com/cat2/,https://maps.google.com/?cid=8873420038434619725
中桜飯店,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２丁目３−３,,https://maps.google.com/?cid=15429598225057089616
レストラン&カフェ ルッシュ,,〒028-3305 岩手県紫波郡紫波町日詰郡山駅１６５,,https://maps.google.com/?cid=12142536600863482921
4832 The SUGAR,,〒028-3318 岩手県紫波郡紫波町紫波中央駅前２丁目３−３ オガールプラザ,http://shiwa4832.com/,https://maps.google.com/?cid=4630353850498118167
カフェ フラミンゴ,,〒028-3609 岩手県紫波郡矢巾町医大通2−4−８,http://www.m-dsj.co.jp/flamingo/,https://maps.google.com/?cid=12516781156444990996
kurumi apartment,,〒028-3614 岩手県紫波郡矢巾町大字又兵エ新田第７地割１９９,https://kurumiapartment.com/,https://maps.google.com/?cid=440322318224735575
888 Yummy!,,〒028-3614 岩手県紫波郡矢巾町駅東1−12−１ やはぱーく1F,http://www.888yummy.com/,https://maps.google.com/?cid=18321823705858868611
